"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C4,C42,C62,C63,C66","7","100nF","","","","","~"
"C3,C64,C65","3","10nF","","","","","~"
"C5,C11,C13,C22,C34,C37,C53,C57,C71,C75","10","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6","1","10pF","","","","","~"
"C7,C8,C9","3","470nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C10","1","220uF","","","","","~"
"C12,C19,C20,C23,C35,C36,C39","7","1uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C14,C26,C31,C32,C38,C40,C41,C47,C48,C50,C51,C55,C69,C73,C76","15","22uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C15,C27,C52,C56,C70,C74","6","330nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C16,C28","2","220nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C17,C29","2","1uF","","","","","~"
"C18,C24","2","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C21","1","4.7uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C25","1","75pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C30,C33,C46,C49","4","100nF","","","","Capacitor_SMD:C_0603_1608Metric","~"
"C54,C68,C72","3","10uF","","","","","~"
"C58,C59,C60,C61","4","47uF","","","","","~"
"C67","1","4.7nF/Y2","","","","Samacsys:CAPC5728X280N",""
"D1,D2,D3,D4,D5,D6,D7,D10,D13,D14,D15,D18,D23,D26,D29,D32,D35,D38","18","TVS","","","","","~"
"D42,D44","2","CDBU0340","","","","DIOM179X85N","https://www.arrow.com/en/products/cdbu0340/comchip-technology"
"F1,F2,F3,F4,F5,F6,F7,F10,F14,F17,F20,F23,F26,F29,F32,F35","16","100mA","","","","","~"
"F13,F38,F40,F41","4","-A","","","","","~"
"FB1,FB2,FB3,FB4","4","2K@100MHz","","","","","~"
"J1,J2,J3,J4","4","2606-1110_010-000","","","","2601-1110:26011110","https://www.wago.com/2606-1110/010-000"
"J5","1","2604-1104","","","","2601-1104:26011104","https://wago.priintcloud.com/datasheets/2604-1104/en/b87bf34972496b0cc9989b5aee7282f1?attempt=1&signature=9e2143c2bdc0f032c541ec220a7d0518_1h3r4vhsf"
"J28","1","FTSH-107-01-L-D-K","","","","Samacsys:FTSH-107-XX-YYY-D-K","http://suddendocs.samtec.com/prints/ftsh-1xx-xx-xxx-d-xxx-xx-mkt.pdf"
"L1","1","2.2uH","","","","Inductor_SMD:L_TDK_VLS6045EX_VLS6045AF","https://product.tdk.com/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_power_vls6045ex_en.pdf"
"L2,L3","2","68uH/1.4A","","","","Inductor_SMD:L_TDK_VLS6045EX_VLS6045AF","https://product.tdk.com/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_power_vls6045ex_en.pdf"
"L4","1","10uH","","","","Inductor_SMD:L_TDK_VLS6045EX_VLS6045AF","https://product.tdk.com/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_power_vls6045ex_en.pdf"
"L5","1","15uH","","","","Inductor_SMD:L_TDK_VLS6045EX_VLS6045AF","https://product.tdk.com/system/files/dam/doc/product/inductor/inductor/smd/catalog/inductor_commercial_power_vls6045ex_en.pdf"
"R1,R17","2","22R","","","","","~"
"R2,R3","2","11kR","","","","","~"
"R4,R5,R7,R9,R11,R13,R15,R16","8","-R","","","","","~"
"R6,R8,R10,R12","4","43kR","","","","","~"
"R14","1","100kR","","","","","~"
"R18,R19","2","10R","","","","","~"
"TP1","1","C5V","","","","","~"
"TP2","1","C3V","","","","","~"
"TP3","1","CVISO","","","","","~"
"TP4","1","M15V","","","","","~"
"TP5","1","18V","","","","","~"
"TP6","1","-18V","","","","","~"
"TP7","1","7V","","","","","~"
"TP8","1","15VA","","","","","~"
"TP9","1","-15VA","","","","","~"
"TP10","1","12VA","","","","","~"
"TP11","1","5VA","","","","","~"
"TP12","1","3V3A","","","","","~"
"TP13","1","3V3","","","","","~"
"TP14","1","3V0A","","","","","~"
"TP15","1","1V5A","","","","","~"
"U1","1","ADS8863IDGS","","","","SOP50P490X110-10N","http://www.ti.com/lit/gpn/ADS8863"
"U2","1","LT3471EDD#PBF","","","","SON50P300X300X80-11N-D","https://www.mouser.pl/datasheet/3/1014/1/3471fb.pdf"
"U3","1","MAX6063AEUR+T","","","","SOT95P229X119-3N","https://www.analog.com/MAX6063/datasheet"
"U4","1","PGA280AIPW","","","","PGA280AIPW:SOP65P640X120-24N","https://datasheet.datasheetarchive.com/originals/distributors/Datasheets-SFU2/DSASFU100026551.pdf"
"U5","1","ISL21010CFH315Z-TK","","","","SOT95P237X112-3N","https://componentsearchengine.com/Datasheets/1/ISL21010CFH315Z-TK.pdf"
"U6","1","STM32G484RET3","","","","QFP50P1200X1200X160-64N","https://www.st.com/resource/en/datasheet/stm32g484ce.pdf"
"U7","1","L7812ABD2T-TR","","","","L7812ABD2TTR","https://www.st.com/resource/en/datasheet/l78.pdf"
"U8","1","MC7815BDTRKG","","","","NVD5117PLT4GVF01","https://www.onsemi.com/pub/Collateral/MC7800-D.PDF"
"U9","1","MC79M15CDTRKG","","","","DPAK_(SINGLE-GAUGE)_TO-252(369C)_ISSUE_F","https://www.onsemi.com/pub/Collateral/MC79M00-D.PDF"
"U10,U12","2","TPS54202HDDCR","","","","SOT95P280X110-6N","http://www.ti.com/lit/gpn/tps54202h"
"U11","1","CD4097BM","","","","SOIC127P1030X265-24N","http://www.ti.com/lit/gpn/CD4097B"
"U13","1","L7805ABD2T-TR","","","","L7805ABD2TTR","https://www.st.com/resource/en/datasheet/l78.pdf"
"U14","1","ADM3055EBRIZ-RL","","","","SOIC127P1030X264-20N","https://www.analog.com/media/en/technical-documentation/data-sheets/ADM3055E-3057E.pdf"
"U15,U16","2","TLV76133KVUR","","","","TLV76133KVUR","https://www.ti.com/lit/ds/symlink/tlv761.pdf?ts=1734763440532&ref_url=https%253A%252F%252Fwww.mouser.kr%252F"
"U17,U18","2","ESDS304DBVR","","","","SOT95P280X145-5N","http://www.ti.com/lit/gpn/esds304"
"Y1","1","ECS-1612MV","","","","ECS1612MV080CNTR","https://www.arrow.com/en/products/ecs-1612mv-080-cn-tr/ecs-international"
